Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"40443-1","BrickHeadz","Pets",2021,"Budgies",,261,13.49,14.99,19.99,14.99,5702016910360,673419337403,15.7,14.1,7.1,0.254,"",0,0,0,,0,0,,,,,,,,,15.2900,,"01/03/2021","31/12/2022"
"40646-1","Icons","Botanical Collection",2023,"Daffodils",,216,10.99,12.99,16.99,12.99,,,14.1,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,17.3400,,"01/01/2023","31/12/2025"
"10316-1","Icons","Licensed",2023,"The Lord of the Rings: Rivendell",,6167,429.99,499.99,669.99,499.99,,,75,39,50,,"",0,0,0,,0,0,,,,,,,,,,,"05/03/2023","31/12/2025"
"40519-1","Creator","Postcard",2022,"New York Postcard",1,254,13.49,14.99,18.99,14.99,5702017165639,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,21.4100,13.2400,"01/07/2022","31/12/2024"
"40382-1","Seasonal","Birthday",2020,"Birthday Set",1,141,11.99,12.99,16.99,12.99,,673419320610,14,15.6,7,0.178,"",0,0,0,,0,0,,,,,,,,,17.3500,,"01/01/2020","31/12/2023"
"40479-1","BrickHeadz","Pets",2021,"Dalmatians",,252,13.49,14.99,19.99,14.99,5702016988420,,15.5,14,6.9,0.245,"",0,0,0,,0,0,,,,,,,,,14.6100,10.3900,"01/06/2021","31/12/2021"
"42136-1","Technic","Licensed",2022,"John Deere 9620R 4WD Tractor",,390,24.99,34.99,44.99,29.99,5702017156576,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,26.8500,24.9500,"01/03/2022","31/12/2024"
"40526-1","City","Miscellaneous",2022,"Electric Scooters & Charging Dock",3,50,11.99,12.99,16.99,12.99,,673419365321,25.1,15,3,0.075,"",0,0,0,,0,0,,,,,,,,,14.8200,,"01/06/2022","31/12/2022"
"76945-1","Jurassic World","Dominion",2022,"Atrociraptor Dinosaur: Bike Chase",2,169,17.99,19.99,24.99,19.99,5702016913514,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,16.5300,,"17/04/2022","31/12/2023"
"21334-1","Ideas","",2022,"Jazz Quartet",,1606,89.99,99.99,129.99,99.99,5702017239477,,48,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,101.7000,73.4900,"28/06/2022","31/12/2024"
"71754-1","Ninjago","Seabound",2021,"Water Dragon",5,737,69.99,79.99,99.99,79.99,5702016912326,673419339193,54,28.2,5.9,,"",0,0,0,,0,0,,,,,,,,,57.4900,39.4100,"01/06/2021","31/07/2023"
"60314-1","City","Police",2022,"Ice Cream Truck Police Chase",3,317,24.99,39.99,49.99,29.99,5702017161891,,28,25.9,5.8,0.574,"",0,0,0,,0,0,,,,,,,,,24.9100,19.9900,"01/01/2022","31/12/2023"
"40615-1","BrickHeadz","Star Wars",2023,"Tusken Raider",,152,9.99,9.99,12.99,9.99,,,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,14.4700,,"01/01/2023","31/12/2023"
"76248-1","Marvel Super Heroes","The Avengers",2023,"The Avengers Quinjet",,795,89.99,99.99,129.99,99.99,,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,87.0900,67.5000,"01/01/2023","31/12/2024"
"60352-1","City","Seasonal",2022,"City Advent Calendar",6,287,21.99,34.99,44.99,24.99,5702017161839,,37.8,25.8,7,0.44,"",0,0,0,,0,0,,,,,,,,,22.0600,,"01/09/2022","31/12/2022"
"60330-1","City","Medical",2022,"Hospital",13,816,89.99,119.99,149.99,99.99,5702017161600,,48,37.8,9.4,1.746,"",0,0,0,,0,0,,,,,,,,,72.4800,,"01/01/2022","31/12/2023"
"10314-1","Icons","Botanical Collection",2023,"Dried Flower Centrepiece",,812,44.99,49.99,69.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,44.8500,,"",""
"60336-1","City","Trains",2022,"Freight Train",6,1153,159.99,199.99,249.99,179.99,5702017189734,,57.8,47.8,12,2.764,"",0,0,0,,0,0,,,,,,,,,147.0200,,"01/06/2022","31/12/2024"
"60384-1","City","Great Vehicles",2023,"Penguin Slushy Van",2,194,17.99,19.99,24.99,19.99,5702017398860,,26.2,19.1,6.1,0.374,"",0,0,0,,0,0,,,,,,,,,16.0600,,"01/01/2023","31/12/2024"
"60349-1","City","Space",2022,"Lunar Space Station",5,500,54.99,79.99,99.99,59.99,5702017161761,,53.8,27.8,5.5,0.998,"",0,0,0,,0,0,,,,,,,,,49.9900,35.0000,"01/03/2022","31/12/2023"
"76206-1","Marvel Super Heroes","Avengers: Age of Ultron",2022,"Iron Man Figure",,381,39.99,39.99,49.99,44.99,5702017154213,,22.2,26.2,6.2,,"",0,0,0,,0,0,,,,,,,,,32.5100,,"01/01/2022","31/12/2023"
"80111-1","Seasonal","Chinese Traditional Festivals",2023,"Lunar New Year Parade",18,1653,89.99,129.99,169.99,99.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,105.4000,,"",""
"40631-1","BrickHeadz","The Lord of the Rings",2023,"Gandalf the Grey & Balrog",,348,17.99,19.99,24.99,19.99,,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,24.5900,,"01/01/2023","31/12/2023"
"71767-1","Ninjago","Core",2022,"Ninja Dojo Temple",8,1394,89.99,99.99,129.99,99.99,5702017151649,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,78.0300,,"01/01/2022","31/12/2023"
"21178-1","Minecraft","Minifig-scale",2022,"The Fox Lodge",2,193,17.99,19.99,32.99,19.99,5702017155791,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,17.2000,15.0000,"01/01/2022","31/12/2023"
"31208-1","Art","Miscellaneous",2023,"Hokusai - The Great Wave",,1810,89.99,99.99,139.99,99.99,,,48,37.8,11.2,,"",0,0,0,,0,0,,,,,,,,,94.4200,,"01/01/2023","31/12/2025"
"71756-1","Ninjago","Seabound",2021,"Hydro Bounty",10,1159,129.99,139.99,179.99,149.99,5702016912340,673419339216,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,104.7200,80.0000,"01/06/2021","31/07/2023"
"42134-1","Technic","Licensed",2022,"Monster Jam Megalodon",,260,17.99,19.99,24.99,19.99,5702017154916,,26.2,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,15.8400,,"01/01/2022","31/12/2023"
"60386-1","City","Great Vehicles",2023,"Recycling Truck",3,261,29.99,29.99,39.99,34.99,5702017416410,,35.4,19.1,7,0.56,"",0,0,0,,0,0,,,,,,,,,28.5600,,"01/01/2023","31/12/2024"
"76951-1","Jurassic World","Dominion",2022,"Pyroraptor & Dilophosaurus Transport",3,254,44.99,44.99,59.99,49.99,5702016973877,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,37.6100,,"17/04/2022","31/12/2023"
"60351-1","City","Space",2022,"Rocket Launch Center",7,1010,129.99,159.99,199.99,149.99,5702017161808,,58.2,37.8,8.7,2.112,"",0,0,0,,0,0,,,,,,,,,115.8500,89.9900,"01/01/2022","31/12/2023"
"31143-1","Creator","3 in 1",2023,"Birdhouse",,476,24.99,29.99,39.99,29.99,5702017434070,,28.2,26.2,5.9,0.659,"",0,0,0,,0,0,,,,,,,,,39.3700,,"01/01/2023","31/12/2023"
"76831-1","Disney","Lightyear",2022,"Zurg Battle",2,261,29.99,34.99,44.99,34.99,5702017152400,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,21.8800,25.0000,"24/04/2022","31/12/2023"
"76947-1","Jurassic World","Dominion",2022,"Quetzalcoatlus Plane Ambush",3,306,44.99,44.99,59.99,49.99,5702016913538,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,36.3700,,"17/04/2022","31/12/2023"
"21177-1","Minecraft","Minifig-scale",2022,"The Creeper Ambush",2,72,8.99,9.99,13.99,9.99,5702017156538,,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,8.2000,6.8300,"01/01/2022","31/12/2023"
"11021-1","Classic","90 Years of Play",2022,"90 Years of Play",,1100,44.99,49.99,64.99,49.99,5702017189192,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,35.5500,,"01/05/2022","31/12/2023"
"42129-1","Technic","Licensed",2021,"4x4 Mercedes-Benz Zetros Trial Truck",,2110,284.99,329.99,439.99,329.99,5702016912845,,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,209.3000,169.1100,"01/08/2021","31/12/2021"
"76915-1","Speed Champions","Pagani",2023,"Pagani Utopia",,249,19.99,24.99,29.99,24.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"21170-1","Minecraft","Minifig-scale",2021,"The Pig House",2,490,44.99,49.99,69.99,49.99,5702016913880,,26.2,22.2,12.4,,"",0,0,0,,0,0,,,,,,,,,41.4600,38.6400,"01/01/2021","31/12/2023"
"75332-1","Star Wars","Episode VI",2022,"AT-ST",3,87,29.99,34.99,44.99,34.99,5702017155586,,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,27.6400,20.9200,"01/08/2022","31/12/2023"
"76213-1","Marvel Super Heroes","Black Panther: Wakanda Forever",2022,"King Namor's Throne Room",3,355,29.99,34.99,44.99,34.99,5702017154572,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,26.3200,,"01/10/2022","31/12/2023"
"21166-1","Minecraft","Minifig-scale",2021,"The 'Abandoned' Mine",2,248,19.99,19.99,32.99,22.99,5702016913446,673419340212,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,17.7500,13.1600,"01/12/2020","31/12/2023"
"31124-1","Creator","3 in 1",2022,"Super Robot",,159,8.99,9.99,13.99,9.99,5702017117461,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,10.0000,4.0000,"01/03/2022","31/12/2024"
"42133-1","Technic","",2022,"Telehandler",,143,8.99,12.99,16.99,9.99,5702017116914,,15.7,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,9.2400,8.0000,"01/03/2022","31/12/2023"
"40548-1","BrickHeadz","Miscellaneous",2022,"Spice Girls Tribute",,578,44.99,49.99,64.99,49.99,5702017166957,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,37.8100,,"01/03/2022","31/12/2022"
"76420-1","Harry Potter","Goblet of Fire",2023,"Triwizard Tournament: The Black Lake",,349,39.99,44.99,59.99,44.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"40632-1","BrickHeadz","The Lord of the Rings",2023,"Aragorn & Arwen",,261,17.99,19.99,24.99,19.99,,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,24.1400,,"01/01/2023","31/12/2023"
"10782-1","Marvel Super Heroes","Spidey and His Amazing Friends",2022,"Hulk vs. Rhino Truck Showdown",3,110,17.99,19.99,24.99,19.99,5702017150659,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,17.0200,,"01/01/2022","31/12/2024"
"75574-1","Avatar","Original Film",2022,"Toruk Makto & Tree of Souls",4,1212,129.99,149.99,199.99,149.99,5702016913798,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,122.8000,,"01/10/2022","31/12/2024"
"76247-1","Marvel Super Heroes","Avengers: Infinity War",2023,"The Hulkbuster: The Battle of Wakanda",,385,44.99,49.99,64.99,49.99,,,26.2,28.2,5.9,,"",0,0,0,,0,0,,,,,,,,,46.2000,,"01/01/2023","31/12/2024"
"60332-1","City","Stuntz",2022,"Reckless Scorpion Stunt Bike",1,15,6.99,7.99,9.99,7.99,5702017161945,,9.1,12.2,4.7,0.045,"",0,0,0,,0,0,,,,,,,,,6.7700,,"01/06/2022","31/12/2023"
"40630-1","BrickHeadz","The Lord of the Rings",2023,"Frodo & Gollum",,184,13.49,14.99,19.99,14.99,,,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,18.9500,,"01/01/2023","31/12/2024"
"42137-1","Technic","",2022,"Formula E Porsche 99x Electric",,422,44.99,49.99,64.99,49.99,5702017156156,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,45.7900,,"01/01/2022","31/12/2023"
"10713-1","Classic","Miscellaneous",2018,"Creative Suitcase",,213,17.99,19.99,24.99,19.99,5702016111330,673419282895,28.5,26.2,6.4,0.84,"",0,0,0,,0,0,,,,,,,,,15.9500,8.9600,"01/01/2018","31/12/2024"
"76949-1","Jurassic World","Dominion",2022,"Giganotosaurus & Therizinosaurus Attack",6,810,119.99,139.99,179.99,139.99,5702016913552,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,113.1500,,"17/04/2022","31/12/2023"
"76914-1","Speed Champions","Ferrari",2023,"Ferrari 812 Competizione",,261,19.99,24.99,29.99,24.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"40648-1","Seasonal","Chinese Traditional Festivals",2023,"Money Tree",,336,21.99,24.99,34.99,24.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,33.5100,,"",""
"76211-1","Marvel Super Heroes","Black Panther: Wakanda Forever",2022,"Shuri's Sunbird",4,355,44.99,49.99,64.99,49.99,5702017154251,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,41.2200,,"01/10/2022","31/12/2023"
"76948-1","Jurassic World","Dominion",2022,"T. rex & Atrociraptor Dinosaur Breakout",4,466,89.99,99.99,129.99,99.99,5702016913545,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,68.2000,,"17/04/2022","31/12/2023"
"76244-1","Marvel Super Heroes","Spider-Man",2023,"Miles Morales vs. Morbius",2,220,19.99,24.99,34.99,24.99,,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,22.4000,,"01/01/2023","31/12/2024"
"21172-1","Minecraft","Minifig-scale",2021,"The Ruined Portal",2,316,24.99,29.99,39.99,29.99,5702016913903,673419340670,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,25.2500,16.2000,"01/06/2021","31/12/2023"
"71396-1","Super Mario","Expansion Set",2022,"Bowser Jr.'s Clown Car ",1,84,8.99,9.99,13.99,9.99,5702017154084,,15.7,14.1,4.5,,"",0,0,0,,0,0,,,,,,,,,7.1000,5.9500,"01/01/2022","31/12/2022"
"75571-1","Avatar","Original Film",2022,"Neytiri & Thanator vs. AMP Suit Quaritch",2,560,39.99,44.99,59.99,44.99,5702016913590,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,38.4100,,"01/10/2022","31/12/2023"
"40543-1","BrickHeadz","Pets",2022,"St. Bernard",,236,13.49,14.99,19.99,14.99,5702017166933,,15.7,14.1,7.1,0.237,"",0,0,0,,0,0,,,,,,,,,16.2500,15.2200,"01/01/2022","31/12/2022"
"71765-1","Ninjago","Core",2022,"Ninja Ultra Combo Mech",7,1104,89.99,89.99,119.99,99.99,5702017151625,,37.8,35.4,9.4,,"",0,0,0,,0,0,,,,,,,,,73.4200,,"01/01/2022","31/12/2023"
"42145-1","Technic","Licensed",2022,"Airbus H175 Rescue Helicopter",,2001,179.99,209.99,269.99,209.99,5702017160641,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,161.0000,120.7000,"01/08/2022","31/12/2024"
"76918-1","Speed Champions","McLaren",2023,"McLaren Solus GT & McLaren F1 LM",,581,39.99,34.99,44.99,44.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"31205-1","Art","Licensed",2022,"Jim Lee Batman Collection",,4167,104.99,119.99,149.99,119.99,5702017153971,,40.4,37.8,5,,"",0,0,0,,0,0,,,,,,,,,99.5100,80.0000,"01/03/2022","31/12/2023"
"40544-1","BrickHeadz","Pets",2022,"French Bulldog",,237,13.49,14.99,19.99,14.99,5702017166940,,15.7,14.1,7.1,0.238,"",0,0,0,,0,0,,,,,,,,,15.3100,8.9700,"01/01/2022","31/12/2022"
"71761-1","Ninjago","Core",2022,"Zane's Power Up Mech EVO",2,95,8.99,9.99,13.99,9.99,5702017117263,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,8.4600,5.3700,"01/01/2022","31/12/2023"
"76950-1","Jurassic World","Dominion",2022,"Triceratops Pickup Truck Ambush",4,210,44.99,44.99,59.99,49.99,5702016971668,,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,45.3400,,"17/04/2022","31/12/2023"
"75572-1","Avatar","Original Film",2022,"Jake & Neytiri's First Banshee Flight",2,572,49.99,59.99,79.99,54.99,5702016913682,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,45.8000,,"01/10/2022","31/12/2024"
"76413-1","Harry Potter","Deathly Hallows",2023,"Hogwarts: Room of Requirement",,587,44.99,49.99,64.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"60313-1","City","Traffic",2022,"Space Ride Amusement Truck",3,433,39.99,49.99,64.99,44.99,5702017230474,,38,26,5.8,0.723,"",0,0,0,,0,0,,,,,,,,,26.8300,,"01/06/2022","31/12/2023"
"76916-1","Speed Champions","Porsche",2023,"Porsche 963",,280,19.99,24.99,29.99,24.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"75573-1","Avatar","Original Film",2022,"Floating Mountains: Site 26 & RDA Samson",5,887,89.99,99.99,129.99,99.99,5702016913781,,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,77.5300,,"01/10/2022","31/12/2023"
"76212-1","Marvel Super Heroes","Black Panther",2022,"Shuri's Lab",2,58,8.99,9.99,13.99,9.99,5702017154268,,15.7,14.1,4.5,,"",0,0,0,,0,0,,,,,,,,,8.6600,,"01/10/2022","31/12/2023"
"71397-1","Super Mario","Expansion Set",2022,"Luigi's Mansion Lab and Poltergust",2,179,21.99,29.99,39.99,24.99,5702017155173,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,18.6000,22.0000,"01/01/2022","31/12/2022"
"71772-1","Ninjago","Crystalized",2022,"The Crystal King",5,722,59.99,79.99,99.99,64.99,5702017152042,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,52.0200,36.4600,"01/06/2022","31/12/2023"
"41703-1","Friends","Tree Houses",2022,"Friendship Tree House",4,1114,69.99,79.99,99.99,79.99,5702017152745,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,61.7600,55.7500,"01/01/2022","31/12/2023"
"71388-1","Super Mario","Expansion Set",2021,"Boss Sumo Bro Topple",2,231,24.99,29.99,39.99,29.99,5702016912609,673419339322,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,23.4700,13.0000,"01/08/2021","31/07/2022"
"21180-1","Minecraft","Minifig-scale",2022,"The Guardian Battle",1,255,19.99,24.99,34.99,22.99,5702017156590,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,19.3900,,"01/01/2022","31/12/2023"
"60322-1","City","Great Vehicles",2022,"Race Car",2,46,8.99,9.99,13.99,9.99,5702017117102,,15.7,14.1,4.5,0.108,"",0,0,0,,0,0,,,,,,,,,8.2600,,"01/01/2022","31/12/2023"
"76830-1","Disney","Lightyear",2022,"Zyclops Chase",2,87,17.99,19.99,24.99,19.99,5702017152394,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,16.1600,,"24/04/2022","31/12/2023"
"71403-1","Super Mario","Starter Course",2022,"Adventures with Peach",4,354,54.99,59.99,74.99,59.99,5702017155234,,31.7,26.2,9,,"",0,0,0,,0,0,,,,,,,,,49.7200,,"01/08/2022","31/07/2026"
"31133-1","Creator","3 in 1",2023,"White Rabbit",,258,17.99,19.99,24.99,19.99,5702017415864,,26,19,6,0.411,"",0,0,0,,0,0,,,,,,,,,16.1300,,"01/01/2023","31/12/2024"
"40569-1","Creator","Postcard",2022,"London Postcard",,277,13.49,14.99,18.99,14.99,5702017241890,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,23.0100,,"01/08/2022","31/12/2024"
"42135-1","Technic","Licensed",2022,"Monster Jam El Toro Loco",,247,17.99,19.99,24.99,19.99,5702017155999,,26.2,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,16.4400,15.5200,"01/01/2022","31/12/2023"
"43202-1","Disney","Encanto",2021,"The Madrigal House",3,587,44.99,49.99,64.99,49.99,5702017100081,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,39.7000,,"01/12/2021","31/12/2023"
"850807-1","Gear","Key Chains/Miscellaneous",2013,"Gold Minifigure Key Chain",,,4.99,5.99,7.99,5.99,673419302968,673419308908,,,,0.01,"",0,0,0,,0,0,,,,,,,,,,,"",""
"40568-1","Creator","Postcard",2022,"Paris Postcard",,213,13.49,14.99,18.99,14.99,5702017241883,,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,19.4400,,"01/08/2022","31/12/2024"
"60390-1","City","Great Vehicles",2023,"Park Tractor",1,86,8.99,9.99,13.99,9.99,5702017416458,,15.7,14.1,6.1,0.156,"",0,0,0,,0,0,,,,,,,,,8.9300,,"01/01/2023","31/12/2023"
"71390-1","Super Mario","Expansion Set",2021,"Reznor Knockdown",4,862,59.99,69.99,89.99,69.99,5702016913293,673419339933,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,55.2900,27.0000,"01/08/2021","31/07/2022"
"75349-1","Star Wars","Helmet Collection",2023,"Captain Rex Helmet",,854,59.99,69.99,89.99,69.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"41168-1","Disney","Frozen II",2019,"Elsa's Jewellery Box",1,300,34.99,39.99,49.99,39.99,5702016368659,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,25.7900,15.0000,"04/10/2019","31/12/2023"
"76411-1","Harry Potter","House Banners",2023,"Ravenclaw House Banner",,305,29.99,34.99,44.99,34.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"75350-1","Star Wars","Helmet Collection",2023,"Clone Commander Cody Helmet",,766,59.99,69.99,89.99,69.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"41677-1","Friends","Forest",2021,"Forest Waterfall",2,93,8.99,9.99,13.99,9.99,5702016916515,673419342155,14.1,12.2,6.1,,"",0,0,0,,0,0,,,,,,,,,8.7200,,"01/06/2021","31/12/2023"
"76409-1","Harry Potter","House Banners",2023,"Gryffindor House Banner",,285,29.99,34.99,44.99,34.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76410-1","Harry Potter","House Banners",2023,"Slytherin House Banner",,347,29.99,34.99,44.99,34.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71768-1","Ninjago","Crystalized",2022,"Jay's Golden Dragon Motorbike",2,137,17.99,19.99,24.99,19.99,5702017152004,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,17.6600,,"01/06/2022","31/12/2023"
"76412-1","Harry Potter","House Banners",2023,"Hufflepuff House Banner",,313,29.99,34.99,44.99,34.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"43197-1","Disney","Frozen",2021,"The Ice Castle",9,1709,189.99,219.99,279.99,219.99,5702016917239,673419342049,37.8,58.2,11.8,,"",0,0,0,,0,0,,,,,,,,,148.0200,150.0000,"01/07/2021","31/12/2023"
"21179-1","Minecraft","Minifig-scale",2022,"The Mushroom House",2,272,17.99,24.99,32.99,19.99,5702017156583,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,15.9100,13.1400,"01/01/2022","31/12/2023"
"80039-1","Monkie Kid","Season 3",2022,"The Heavenly Realms",8,2433,159.99,189.99,239.99,179.99,5702017153803,,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,183.4900,,"01/06/2022","31/12/2023"
"80110-1","Seasonal","Chinese Traditional Festivals",2023,"Lunar New Year Display",,872,69.99,89.99,119.99,79.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,82.2400,,"",""
"60353-1","City","Missions",2022,"Wild Animal Rescue Missions",1,246,24.99,39.99,49.99,29.99,5702017189741,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,24.9900,,"01/06/2022","31/12/2023"
"850996-1","Gear","Key Chains/Star Wars",2014,"Darth Vader",,,4.99,5.99,7.99,5.99,673419254144,673419254144,,,,0.01,"",0,0,0,,0,0,,,,,,,,,,,"",""
"31130-1","Creator","3 in 1",2022,"Sunken Treasure Mission",2,522,24.99,34.99,44.99,29.99,5702017153216,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,31.1300,,"01/06/2022","31/12/2023"
"71770-1","Ninjago","Crystalized",2022," Zane's Golden Dragon Jet ",3,258,24.99,34.99,44.99,29.99,5702017152028,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,25.9500,12.3300,"01/06/2022","31/07/2023"
"40518-1","Creator","Miscellaneous",2022,"High-Speed Train",,284,17.99,19.99,24.99,19.99,5702017166193,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,23.2300,10.0000,"01/01/2022","31/12/2024"
"21337-1","Ideas","",2022,"Table Football",22,2339,214.99,249.99,309.99,249.99,,,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,218.5900,,"01/11/2022","31/12/2023"
"71766-1","Ninjago","Core",2022,"Lloyd's Legendary Dragon",4,747,59.99,69.99,89.99,64.99,5702017151632,,54,28.2,5.9,,"",0,0,0,,0,0,,,,,,,,,46.2500,,"01/01/2022","31/12/2023"
"76214-1","Marvel Super Heroes","Black Panther: Wakanda Forever",2022,"Black Panther: War on the Water",5,545,79.99,89.99,119.99,89.99,,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,97.0800,,"01/10/2022","31/12/2023"
"10781-1","Marvel Super Heroes","Spidey and His Amazing Friends",2022,"Spider-Man's Techno Trike",2,59,8.99,9.99,13.99,9.99,5702017150642,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,9.2100,,"01/01/2022","31/12/2023"
"60383-1","City","Great Vehicles",2023,"Electric Sports Car",1,95,8.99,9.99,13.99,9.99,5702017399829,,15.7,14.1,6.1,0.152,"",0,0,0,,0,0,,,,,,,,,8.8300,,"01/01/2023","31/12/2024"
"42139-1","Technic","",2022,"All-Terrain Vehicle",,764,79.99,89.99,109.99,89.99,5702017117287,,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,54.9500,,"01/03/2022","31/12/2023"
"75351-1","Star Wars","Helmet Collection",2023,"Princess Leia (Boushh) Helmet",,670,59.99,69.99,89.99,69.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"850705-1","Gear","Housewares",2013,"Salt and Pepper Set",,,4.99,6.99,8.49,5.99,,673419194808,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71774-1","Ninjago","Crystalized",2022,"Lloyd's Golden Ultra Dragon ",9,989,129.99,149.99,199.99,149.99,5702017152066,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,124.6600,74.6300,"01/06/2022","31/12/2023"
"11013-1","Classic","Creative Bricks",2021,"Creative Transparent Bricks",,500,29.99,29.99,39.99,34.99,5702016888720,,22.2,26.2,9.5,,"",0,0,0,,0,0,,,,,,,,,24.2500,,"01/01/2021","31/12/2024"
"40554-1","BrickHeadz","Avatar",2022,"Jake Sully & his Avatar",,246,17.99,19.99,24.99,19.99,5702017241807,,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,23.7600,,"01/10/2022","31/12/2023"
